"Limbang, SARAWAK","ILP Miri, SARAWAK","Miri, SARAWAK","Samalaju, SARAWAK","Bintulu, SARAWAK","Mukah, SARAWAK","Kapit, SARAWAK","Sibu, SARAWAK","Sarikei, SARAWAK","Sri Aman, SARAWAK","Samarahan, SARAWAK","Kuching, SARAWAK"
30,42,33,26,15,29,32,49,27,25,26,34
30,45,38,27,15,29,35,51,28,25,26,34
29,44,37,27,16,29,37,51,29,26,26,33
29,45,36,26,16,27,38,51,30,25,27,34
29,43,35,25,16,27,40,51,30,26,26,34
29,43,35,25,16,26,42,49,29,26,26,34
29,43,35,24,16,26,42,49,29,27,26,32
29,40,35,23,16,25,42,49,29,26,27,33
28,38,34,23,16,25,42,47,30,26,26,32
28,40,32,22,16,24,42,45,29,25,26,32
28,39,35,22,17,25,43,42,28,24,26,31
28,38,34,21,17,24,43,41,28,24,25,31
27,36,34,21,17,25,44,41,28,24,26,30
26,36,35,21,17,23,44,41,28,24,27,30
26,36,34,21,17,22,44,40,28,23,24,30
26,35,35,21,17,22,45,39,28,22,24,31
25,35,35,21,17,21,45,39,27,23,25,32
25,36,34,21,17,21,45,39,27,24,23,32
26,35,34,21,17,20,44,38,27,23,24,33
28,35,34,18,17,20,44,38,28,22,24,33
27,35,33,18,17,21,42,37,31,23,24,33
26,35,32,16,17,21,40,35,30,25,23,34
25,35,32,15,18,20,40,34,31,25,23,34
23,35,31,14,18,20,40,31,30,27,23,33
22,32,30,15,27,21,38,29,29,26,22,33
23,30,25,13,28,19,34,26,27,27,21,34
22,30,24,12,28,19,33,23,26,27,22,33
22,30,24,12,28,20,34,23,25,27,22,33
21,29,25,12,28,20,31,22,25,27,23,34
20,29,25,12,28,20,30,22,26,27,23,33
20,29,25,13,28,19,29,22,27,27,24,35
20,29,24,13,28,19,28,21,27,27,23,35
20,29,24,13,28,19,29,21,27,28,23,36
20,27,23,14,28,20,29,22,28,29,23,38
20,25,21,14,28,19,30,23,29,30,23,40
19,26,22,14,28,20,29,24,29,30,23,41
20,27,22,14,28,21,29,24,29,29,23,42
20,27,22,14,28,22,30,25,29,30,23,42
20,27,21,13,28,23,30,26,29,31,23,43
21,29,21,13,28,23,30,26,30,31,23,42
21,27,21,13,28,23,30,28,30,31,23,42
20,30,22,14,28,24,30,29,30,31,23,41
19,30,23,14,28,25,31,30,31,31,22,41
19,30,24,15,28,25,31,30,30,30,22,40
22,28,26,15,28,25,30,30,28,28,21,40
23,27,26,16,28,26,31,31,29,25,21,39
25,26,28,17,28,26,29,31,28,23,21,38
26,26,28,17,28,27,28,31,28,22,21,38
28,26,30,17,32,27,27,30,28,22,20,38
28,25,32,18,32,27,27,30,28,21,20,38
29,25,33,18,32,27,25,31,28,20,20,38
30,24,34,19,32,27,25,30,28,21,20,38
30,25,34,20,32,27,24,30,28,21,19,37
31,25,34,20,32,28,24,30,28,21,18,37
31,26,34,21,32,29,24,31,28,20,18,36
32,25,34,21,32,29,25,31,29,21,17,36
32,25,36,21,32,29,25,31,29,21,17,35
32,25,37,22,32,29,25,30,29,21,16,35
32,26,37,22,32,29,25,31,29,21,15,35
33,26,38,23,32,27,24,31,28,21,15,35
33,26,37,24,32,27,24,32,29,22,16,35
33,27,36,24,32,26,23,32,29,22,16,35
34,26,36,24,32,27,23,33,29,22,18,35
34,26,36,25,32,27,22,34,29,23,20,35
33,26,35,23,32,28,23,34,29,23,20,36
34,24,34,23,32,28,23,36,30,23,22,36
35,22,34,22,32,27,23,36,30,23,22,36
35,21,34,22,32,28,26,38,30,24,24,37
33,24,34,22,32,29,29,39,31,27,26,42
33,25,36,22,33,28,31,38,29,28,28,48
32,26,37,20,33,28,32,38,30,29,29,49
31,25,38,20,33,28,32,39,31,29,30,51
30,26,36,20,36,28,33,40,31,30,31,51
29,27,35,19,36,28,34,42,32,31,32,52
29,26,35,19,36,29,36,43,39,32,33,52
29,26,35,18,36,31,35,44,42,32,35,52
29,25,34,18,36,32,36,45,44,33,35,53
29,24,34,18,36,33,37,46,45,33,36,53
29,24,34,18,36,33,37,46,45,35,36,53
28,25,36,17,36,33,38,47,45,36,36,53
28,23,35,16,36,33,37,47,45,38,36,53
29,23,34,16,36,34,38,48,47,38,38,53
30,23,34,16,36,34,38,47,47,39,39,53
29,22,33,16,36,35,38,47,47,40,40,53
29,22,33,17,36,36,38,47,46,41,39,53
29,21,34,18,36,35,39,47,46,41,37,53
29,21,34,22,37,35,40,48,45,42,37,54
30,22,36,24,37,33,39,49,45,41,35,53
31,23,38,24,37,34,41,49,45,42,34,53
30,23,41,26,37,34,40,49,44,43,32,53
31,24,41,25,37,33,39,49,44,43,33,53
37,25,47,27,37,33,36,48,46,44,34,53
38,22,49,27,37,33,34,50,47,43,33,53
38,23,49,26,37,33,34,51,47,43,33,52
39,23,48,27,37,34,35,51,46,45,33,52
40,24,48,28,37,34,36,51,44,46,34,52
41,24,49,30,40,34,37,51,43,46,33,52
42,22,50,33,40,34,36,51,42,46,33,52
43,22,50,34,40,34,35,51,34,48,33,52
43,23,50,36,40,33,35,52,33,48,33,52
43,24,51,38,40,33,35,52,33,48,33,52
43,24,51,38,40,33,35,52,33,48,33,52
44,25,51,39,40,34,35,52,34,48,34,52
44,24,50,41,40,35,34,52,37,49,35,52
45,25,51,44,40,35,36,52,39,48,37,52
44,26,51,45,40,35,37,52,39,47,38,53
43,26,52,46,40,36,36,52,39,46,38,52
44,27,52,46,40,38,37,52,40,45,39,52
44,28,52,46,40,40,38,52,41,45,39,52
44,28,52,45,40,43,38,52,42,44,39,52
44,29,52,41,40,42,37,52,42,44,38,52
44,29,52,41,40,41,38,52,42,45,38,52
44,29,51,42,40,42,37,52,42,45,39,52
45,29,50,42,40,42,40,52,42,44,41,52
45,29,49,43,40,42,42,52,43,43,41,52
38,29,45,44,40,42,44,52,41,42,40,52
39,29,43,45,40,41,45,52,40,42,39,51
40,28,43,45,40,41,44,52,42,43,39,51
40,28,43,45,40,42,43,52,43,41,39,51
40,26,43,45,40,42,43,53,45,40,40,52
40,25,42,44,43,43,42,53,46,41,40,52
40,25,43,43,43,43,42,53,47,41,41,51
40,25,42,42,43,42,42,53,48,41,42,51
40,25,43,41,43,41,42,53,47,41,42,51
40,25,44,40,43,40,43,53,47,42,43,51
40,24,43,40,43,41,42,53,46,45,43,51
40,23,44,41,43,42,42,53,46,46,43,52
40,24,43,43,43,41,42,53,44,45,42,51
40,25,44,43,43,41,41,53,42,45,41,51
41,25,44,43,43,41,39,53,43,43,39,51
41,25,44,43,43,41,40,53,42,44,38,51
42,25,44,43,43,37,39,53,44,44,38,51
42,24,43,41,43,35,38,53,44,44,38,51
42,26,43,41,43,34,39,53,43,44,37,51
42,25,44,41,43,36,39,52,43,45,36,50
41,25,48,41,43,37,38,52,45,45,37,49
41,25,50,40,43,34,39,52,46,44,35,48
40,26,49,40,43,35,37,52,45,45,34,48
40,25,50,40,43,38,36,51,44,45,33,49
